year,rate
1965,10.6
1966,10.6
1967,12.5
1968,13.6
1969,15.8
1970,18.5
1971,16.9
1972,15.3
1973,20.1
1974,32.9
1975,13.1
1976,8.8
1977,8.8
1978,5.9
1979,6.0
1980,6.74
1981,7.68
1982,7.01
1983,4.40
1984,4.46
1985,5.03
1986,4.55
1987,3.56
1988,4.43
1989,5.17
1990,5.94
1991,5.65
1992,4.95
1993,3.89
1994,3.13
1995,2.83
1996,2.86
1997,2.90
1998,2.66
1999,2.21
2000,2.06
2001,2.01
2002,1.66
2003,1.63
2004,1.67
2005,1.71
2006,1.79
2007,1.87
2008,1.99
2009,1.83
2010,1.82
2011,1.83
2012,1.78
2013,1.80
2014,2.19
2015,2.38
2016,2.14
2017,2.11
2018,2.26
2019,2.18
2020,2.00
2021,1.86
2022,2.20
2023,3.60
2024,5.33
2025,5.52
2026,5.18
